Period,Interest_due A ,Interest_paid A,Interest_shortfall A,Principal_paid A,Balance A,Interest_due B,Interest_paid B,Interest_shortfall B,Principal_paid B,Balance B,Reserve Account
1,94514.58105916665,94514.58105916665,0.0,247500.76072011876,22435998.693479877,37805.83242366666,37805.83242366666,0.0,12375.038036005935,5658499.825513993,331996.04802252224
2,93483.32788949949,93483.32788949949,0.0,250545.4480634664,22185453.24541641,37723.332170093294,37723.332170093294,0.0,12527.272403173312,5645972.553110819,647883.1213205248
3,92439.38852256838,92439.38852256838,0.0,253862.61722936187,21931590.62818705,37639.817020738796,37639.817020738796,0.0,12693.130861468084,5633279.422249352,951380.0988999673
4,91381.62761744604,91381.62761744604,0.0,257057.98875575396,21674532.639431294,37555.196148329014,37555.196148329014,0.0,12852.899437787688,5620426.522811564,1268789.8557336808
5,90310.55266429705,90310.55266429705,0.0,260462.4318313553,21414070.207599938,37469.51015207709,37469.51015207709,0.0,13023.121591567755,5607403.401219997,1566427.9882055596
6,89225.2925316664,89225.2925316664,0.0,263936.65681454405,21150133.550785396,37382.68934146665,37382.68934146665,0.0,13196.8328407272,5594206.568379269,1861296.9020668417
7,88125.55646160581,88125.55646160581,0.0,267425.8625743356,20882707.68821106,37294.710455861794,37294.710455861794,0.0,13371.293128716772,5580835.275250552,2153270.9016634556
8,87011.28203421275,87011.28203421275,0.0,270704.6366202852,20612003.051590774,37205.56850167035,37205.56850167035,0.0,13535.231831014251,5567300.043419538,2448458.443347676
9,85883.34604829489,85883.34604829489,0.0,274437.2540318289,20337565.797558945,37115.33362279692,37115.33362279692,0.0,13721.862701591432,5553578.180717947,2734448.785948055
10,84739.85748982894,84739.85748982894,0.0,278222.0083082537,20059343.78925069,37023.854538119645,37023.854538119645,0.0,13911.100415412675,5539667.080302534,3017700.1042013303
11,83580.59912187788,83580.59912187788,0.0,281682.4715555283,19777661.317695163,36931.11386868356,36931.11386868356,0.0,14084.123577776412,5525582.956724757,3305166.656326903
12,82406.92215706318,82406.92215706318,0.0,284998.31279283285,19492663.00490233,36837.21971149839,36837.21971149839,0.0,14249.915639641637,5511333.041085116,3594466.30287993
13,81219.42918709303,81219.42918709303,0.0,288530.2544966106,19204132.75040572,36742.22027390077,36742.22027390077,0.0,14426.512724830525,5496906.528360285,3884531.417801988
14,80017.21979335717,80017.21979335717,0.0,291885.0293199748,18912247.721085746,36646.0435224019,36646.0435224019,0.0,14594.251465998732,5482312.276894286,4167641.513941569
15,78801.0321711906,78801.0321711906,0.0,294835.50084355345,18617412.22024219,36548.748512628576,36548.748512628576,0.0,14741.775042177667,5467570.501852109,4456569.274661137
16,77572.55091767579,77572.55091767579,0.0,298662.65639227687,18318749.563849915,36450.470012347396,36450.470012347396,0.0,14933.13281961384,5452637.369032495,4725683.610480781
17,76328.12318270798,76328.12318270798,0.0,302481.17031036085,18016268.393539555,36350.91579354997,36350.91579354997,0.0,15124.058515518045,5437513.310516977,4984052.146565121
18,75067.78497308148,75067.78497308148,0.0,305880.37845961866,17710388.015079934,36250.08873677985,36250.08873677985,0.0,15294.018922980935,5422219.291593996,5247652.245923092
19,73793.28339616639,73793.28339616639,0.0,309897.7866332702,17400490.228446666,36148.12861062664,36148.12861062664,0.0,15494.889331663508,5406724.402262333,5498641.077168967
20,72502.04261852778,72502.04261852778,0.0,313994.07357532147,17086496.154871345,36044.82934841555,36044.82934841555,0.0,15699.703678766069,5391024.698583567,5751694.291867773
21,71193.7339786306,71193.7339786306,0.0,317173.6939314102,16769322.460939933,35940.16465722378,35940.16465722378,0.0,15858.684696570495,5375166.013886996,6003815.470412154
22,69872.17692058305,69872.17692058305,0.0,320050.57440256915,16449271.886537366,35834.44009257997,35834.44009257997,0.0,16002.528720128446,5359163.485166867,6271096.646697727
23,68538.63286057235,68538.63286057235,0.0,323642.74710821547,16125629.139429148,35727.75656777912,35727.75656777912,0.0,16182.137355410776,5342981.347811457,6514272.59725852
24,67190.12141428812,67190.12141428812,0.0,327502.201302374,15798126.938126776,35619.87565207638,35619.87565207638,0.0,16375.11006511869,5326606.237746338,6753391.998663449
25,65825.52890886157,65825.52890886157,0.0,330548.0810564617,15467578.857070314,35510.70825164226,35510.70825164226,0.0,16527.404052823073,5310078.833693515,6997449.418706113
26,64448.24523779297,64448.24523779297,0.0,334462.9721379735,15133115.88493234,35400.52555795677,35400.52555795677,0.0,16723.14860689866,5293355.685086616,7230434.033495459
27,63054.649520551415,63054.649520551415,0.0,337657.82300230075,14795458.061930038,35289.037900577445,35289.037900577445,0.0,16882.891150115036,5276472.793936501,7465512.726198028
28,61647.74192470849,61647.74192470849,0.0,341716.2368938335,14453741.825036205,35176.48529291001,35176.48529291001,0.0,17085.81184469167,5259386.98209181,7687685.898590392
29,60223.924270984186,60223.924270984186,0.0,345567.9642570853,14108173.86077912,35062.579880612066,35062.579880612066,0.0,17278.398212854263,5242108.583878955,7912178.146944445
30,58784.05775324633,58784.05775324633,0.0,349494.76275941834,13758679.0980197,34947.39055919304,34947.39055919304,0.0,17474.738137970915,5224633.845740984,8121509.336644271
31,57327.82957508208,57327.82957508208,0.0,353875.8223351249,13404803.275684576,34830.892304939895,34830.892304939895,0.0,17693.791116756238,5206940.054624228,8328028.853363704
32,55853.346982019066,55853.346982019066,0.0,358188.88220898435,13046614.393475592,34712.93369749485,34712.93369749485,0.0,17909.444110449207,5189030.610513778,8534789.437542735
33,54360.8933061483,54360.8933061483,0.0,362320.7074436847,12684293.686031908,34593.537403425194,34593.537403425194,0.0,18116.03537218422,5170914.575141595,8737717.479906121
34,52851.22369179961,52851.22369179961,0.0,366510.299285992,12317783.386745917,34472.7638342773,34472.7638342773,0.0,18325.514964299593,5152589.060177295,8925357.748837864
35,51324.097444774656,51324.097444774656,0.0,371161.3415290323,11946622.045216884,34350.5937345153,34350.5937345153,0.0,18558.0670764516,5134030.993100843,9118512.827143272
36,49777.59185507035,49777.59185507035,0.0,375864.6143622911,11570757.430854592,34226.87328733896,34226.87328733896,0.0,18793.230718114544,5115237.762382729,9306550.173957828
37,48211.48929522747,48211.48929522747,0.0,380731.6279663892,11190025.802888203,34101.58508255153,34101.58508255153,0.0,19036.581398319453,5096201.1809844095,9491228.207805071
38,46625.10751203418,46625.10751203418,0.0,384447.6247385769,10805578.178149626,33974.67453989606,33974.67453989606,0.0,19222.38123692883,5076978.79974748,9681041.679960702
39,45023.24240895677,45023.24240895677,0.0,388879.78581093333,10416698.392338693,33846.52533164987,33846.52533164987,0.0,19443.989290546662,5057534.810456933,9857225.073485754
40,43402.90996807789,43402.90996807789,0.0,393731.78429431276,10022966.60804438,33716.89873637956,33716.89873637956,0.0,19686.58921471562,5037848.221242218,10022055.733383162
41,41762.36086685158,41762.36086685158,0.0,397864.03929570055,9625102.568748679,33585.654808281455,33585.654808281455,0.0,19893.20196478501,5017955.019277433,10191769.340768581
42,40104.59403645283,40104.59403645283,0.0,402280.7863449938,9222821.782403685,33453.033461849554,33453.033461849554,0.0,20114.039317249684,4997840.979960184,10350591.644956462
43,38428.42409334869,38428.42409334869,0.0,406292.9903399404,8816528.792063745,33318.939866401226,33318.939866401226,0.0,20314.649516997022,4977526.330443187,10512585.927799445
44,36735.53663359894,36735.53663359894,0.0,411036.4050714881,8405492.386992257,33183.50886962125,33183.50886962125,0.0,20551.820253574395,4956974.510189612,10658832.806037216
45,35022.88494580107,35022.88494580107,0.0,416117.7299047609,7989374.657087496,33046.496734597415,33046.496734597415,0.0,20805.886495238043,4936168.623694374,10803920.713519251
46,33289.061071197895,33289.061071197895,0.0,421302.6694372277,7568071.987650268,32907.79082462916,32907.79082462916,0.0,21065.133471861376,4915103.490222513,10943050.179193702
47,31533.633281876115,31533.633281876115,0.0,426170.16873025947,7141901.818920009,32767.35660148342,32767.35660148342,0.0,21308.508436512962,4893794.981786,11081542.516091343
48,29757.924245500035,29757.924245500035,0.0,431871.4992279205,6710030.319692088,32625.299878573333,32625.299878573333,0.0,21593.574961396018,4872201.406824604,11208461.261410167
49,27958.4596653837,27958.4596653837,0.0,437216.5408116493,6272813.77888044,32481.342712164027,32481.342712164027,0.0,21860.827040582455,4850340.579784021,11335461.487017144
50,26136.7240786685,26136.7240786685,0.0,442525.5889945349,5830288.189885903,32335.603865226807,32335.603865226807,0.0,22126.279449726735,4828214.300334294,11451025.1184625
51,24292.86745785793,24292.86745785793,0.0,411167.19045223715,5419120.9994336665,32188.095335561964,32188.095335561964,0.0,20558.359522611834,4807655.9408116825,11564397.035033192
52,22579.67083097361,22579.67083097361,0.0,404871.142447903,5014249.856985763,32051.039605411217,32051.039605411217,0.0,20243.557122395156,4787412.383689288,11663436.858270753
53,20892.707737440676,20892.707737440676,0.0,391641.6242519994,4622608.232733764,31916.08255792859,31916.08255792859,0.0,19582.08121259996,4767830.302476687,11755165.40375672
54,19260.86763639068,19260.86763639068,0.0,377075.6714385841,4245532.561295178,31785.535349844584,31785.535349844584,0.0,18853.78357192921,4748976.518904759,11843769.742678143
55,17689.719005396575,17689.719005396575,0.0,354630.6464270627,3890901.9148681164,31659.84345936506,31659.84345936506,0.0,17731.53232135312,4731244.986583405,11923144.136989301
56,16212.091311950484,16212.091311950484,0.0,336553.9639922327,3554347.950875882,31541.63324388937,31541.63324388937,0.0,16827.698199611637,4714417.288383794,11992091.294250412
57,14809.783128649507,14809.783128649507,0.0,314885.43318066164,3239462.517695222,31429.448589225296,31429.448589225296,0.0,15744.271659033073,4698673.016724761,12049722.350978803
58,13497.760490396759,13497.760490396759,0.0,285803.66489253467,2953658.8528026864,31324.486778165072,31324.486778165072,0.0,14290.183244626727,4684382.833480134,12100068.339646915
59,12306.911886677859,12306.911886677859,0.0,258915.33610937046,2694743.5166933164,31229.21888986756,31229.21888986756,0.0,12945.766805468513,4671437.066674666,12139645.094072731
60,11228.097986222152,11228.097986222152,0.0,233957.2410583947,2460786.275634922,31142.913777831105,31142.913777831105,0.0,11697.862052919721,4659739.204621745,12170624.134391734
61,10253.276148478843,10253.276148478843,0.0,199273.44527687732,2261512.8303580433,31064.928030811636,31064.928030811636,0.0,9963.672263843862,4649775.532357902,12197523.099267734
62,9422.970126491848,9422.970126491848,0.0,166262.87405369044,2095249.9563043527,30998.503549052683,30998.503549052683,0.0,8313.14370268452,4641462.388655217,12216401.47791037
63,8730.208151268136,8730.208151268136,0.0,138512.9923159724,1956736.9639883786,30943.082591034785,30943.082591034785,0.0,6925.649615798618,4634536.739039419,12232127.231508596
64,8153.070683284911,8153.070683284911,0.0,119883.2949278109,1836853.6690605693,30896.91159359613,30896.91159359613,0.0,5994.164746390539,4628542.574293029,12245190.946272131
65,7653.556954419038,7653.556954419038,0.0,96608.99428342807,1740244.6747771427,30856.95049528686,30856.95049528686,0.0,4830.449714171401,4623712.124578857,12251495.85914408
66,7251.019478238094,7251.019478238094,0.0,81161.34722733169,1659083.3275498115,30824.74749719238,30824.74749719238,0.0,4058.0673613665804,4619654.05721749,12243599.356268663
67,6912.847198124215,6912.847198124215,0.0,66091.88218344463,1592991.4453663677,30797.69371478327,30797.69371478327,0.0,3304.594109172229,4616349.463108318,12248454.742629053
68,6637.464355693199,6637.464355693199,0.0,54721.04621441922,1538270.3991519473,30775.663087388788,30775.663087388788,0.0,2736.052310720961,4613613.410797597,12236818.078439532
69,6409.459996466448,6409.459996466448,0.0,38828.23781356273,1499442.1613383852,30757.422738650646,30757.422738650646,0.0,1941.4118906781341,4611671.998906919,12217585.068344576
70,6247.675672243272,6247.675672243272,0.0,33851.897916667265,1465590.263421718,30744.479992712793,30744.479992712793,0.0,1692.5948958333627,4609979.404011086,12208931.877486238
71,6106.626097590492,6106.626097590492,0.0,21472.923294882276,1444117.3401268348,30733.196026740574,30733.196026740574,0.0,1073.6461647441138,4608905.7578463415,12193494.90558098
72,6017.1555838618115,6017.1555838618115,0.0,0.0,1444117.3401268348,30726.038385642278,30726.038385642278,0.0,0.0,4608905.7578463415,12165606.11540272
